,Month5,Month6,Month7,Month8,Month9,Month10,Month11,tp (s)
0,19.530919414012224,10.28598739622629,23.8316018187941,13.319765057115667,19.00275031125757,23.09078360897778,26.063334759388226,-0.5
1,23.180743854900182,13.140226440628808,21.772331807178723,18.0404104562178,15.352537777786173,22.68647548220742,27.163467364326443,-0.45
2,25.713882671256137,14.539602439275932,23.491739357547313,24.52129653856163,9.71890998302632,23.91848682750225,26.915316853771564,-0.4
3,24.476841709814256,12.308800410273996,25.570010347131422,24.14796777969525,7.610442349300341,24.82546087670257,26.68130748476061,-0.35
4,25.09255609648806,9.885443305419619,23.84407248765072,18.123980033194336,9.718132475892652,21.838083608867954,27.74507023043887,-0.3
5,25.419973805731964,8.964155750742178,22.47042366354279,14.668044711296051,13.331973466580832,17.8721562569703,27.27176627559129,-0.25
6,21.20864337039992,9.346420365888246,23.873818766601637,14.369744474979292,14.939460154799935,17.297435478453934,23.725420632343663,-0.2
7,16.891193880689016,10.164518578455354,23.12541542887886,12.998011462912004,13.951674352989313,21.219830587790867,23.6100726052679,-0.15000000000000002
8,17.38414403644711,12.381308424713017,19.47008665987567,13.072448322432582,12.69562282040448,23.745373807202153,27.25525401664374,-0.09999999999999998
9,22.736494416418314,15.753339076386805,20.92739455094216,17.961962834521593,12.748952467195501,24.469690759339713,31.738203633340337,-0.04999999999999999
10,27.455716459975935,21.07365324940367,26.976124380651452,26.82044384952449,20.414082981193435,28.09355348679164,42.05966038408067,0.0
11,29.95073560918179,28.28609173687216,32.00139285443204,38.19611448839616,33.152911097385044,34.38168860582469,59.45276470427936,0.050000000000000044
12,33.50150506286811,28.190325596397344,36.22887334387147,42.86672725312315,38.470586371411514,33.67342371744611,66.75041530430192,0.09999999999999998
13,41.336526571524224,26.315240173170686,37.37959380976544,37.58542791096949,42.334244377650016,27.440788223767292,60.248884284514375,0.15000000000000002
14,48.59963900020197,31.067853990297273,38.95182585572082,36.35632226666095,49.537289763704415,29.042246440216246,58.305801505831106,0.19999999999999996
15,47.17367118157428,35.37700527836751,40.38780333034326,42.25358593061658,52.10124367587232,40.11783046577115,63.36050318186359,0.25
16,40.14699113714663,32.88762169595839,39.54687410724868,47.803167233985484,52.33114259629215,46.70625003301517,63.6784277890189,0.30000000000000004
17,32.916255132061124,29.989461036099208,37.9433778134259,45.310826785033655,47.66566101846326,38.77986828035865,58.958495043609645,0.35
18,26.99535059410681,31.392285170711155,37.90138104950749,41.708327887389814,41.10550488827914,29.436481379517865,58.69713729707698,0.4
19,25.758008117811947,33.5144292257824,36.97404005847807,42.90438978656432,38.561312086380575,26.918333896257863,60.96781769703186,0.44999999999999996
20,28.19227460947363,31.851779880890355,36.23124319474418,46.22412913733383,36.589649907748274,27.855802524050418,58.209685180416166,0.5
21,30.666958333335046,28.90737258068379,38.574335829928046,47.81140603361591,38.02977505567893,31.353924535110338,49.5247416554966,0.55
22,32.03398953934905,27.214900179997528,38.19917099970009,43.697928941014595,42.23220311988778,33.257108242615374,41.42794780015521,0.6000000000000001
23,32.296315386409674,27.844324401380625,36.58578378211058,38.9233558081817,42.94982451146011,28.34184878234874,39.19918696159095,0.6499999999999999
24,32.19047829105053,28.892809342476973,38.8438368607937,40.30973191258161,39.24139207109604,24.730178821377326,42.04441814801156,0.7
25,31.22140334352759,30.146265019648496,37.19708795196385,42.07225782509357,34.130070322777044,29.96770372640514,44.382472888940306,0.75
26,28.085075202449183,31.142419382933006,29.852391536160173,39.27609096019175,33.94788342645396,35.57161874881659,42.47172832851358,0.8
27,25.563610396221375,31.32445902913281,25.988286132971893,36.63098775622508,38.51292313963944,35.24333475226233,39.08062361000418,0.8500000000000001
28,27.75656337626742,31.294332438229592,30.110167675462105,33.67367119614538,40.56315660470353,33.78692418874988,37.69097115866006,0.8999999999999999
29,31.12140486648781,30.736393343144226,33.532219990380426,29.704774399459048,35.65250877091108,32.77363676214571,39.18073488719503,0.95
30,30.061607572070052,27.440941202541318,28.48756736172468,25.987111565549625,27.29759207849177,28.722308387822956,36.951735516190624,1.0
31,26.359200661086383,29.691596903204186,20.848644496874712,22.53784804712707,21.292017557395056,25.17063595536745,30.110751434483348,1.05
32,22.56055902490577,32.87331818225079,19.55508212164579,22.938517516330766,18.01041624377266,28.540911861000346,27.218850821455373,1.1
33,18.763622439376782,28.547281652146147,23.619655610479185,24.21798970324381,16.199467728688976,34.698535538811555,29.550032726614063,1.15
34,18.579587390923116,22.038372208169868,26.012844339719745,23.451200833732322,17.707506285525515,37.75202384167535,31.847127556870234,1.2
35,19.776364027146833,19.76349663044762,26.416033981328994,22.407349349182134,20.27313968843231,34.308653262874444,32.26644406476677,1.25
36,17.49470233192092,20.107019494996752,26.472911225628124,19.75009298808851,22.58166059532241,27.30683777931673,27.744357938302464,1.3
37,12.94054409857116,20.74751652086122,26.171294966864316,17.61169092693012,21.431234686902364,23.028655229368063,20.781562490720283,1.35
38,12.230435854649102,17.283417534306835,26.380054204770314,19.30625983328251,18.658195530585637,21.126170852750988,18.04216650277945,1.4
39,15.968844465501896,11.288214731487807,27.586539578494378,21.10530687016702,19.28828099199545,20.242277717481947,19.625339281352705,1.45
