neuron Wavemap,dates,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
0,1.0,2.3886741395442037,1.5747999163532842,0.4668153233130052,0.1661948388304078,1.0383050758165888,-0.29190702950963066,1.018082681315912,1.9988540540495094,-17.08115977076378,-33.7838058232565,-17.623714695072678,1.729412879869565,6.260516575158577,10.588470974152957,12.645984993508007,10.258824382708887,8.479167274994046,7.288794312054388,5.864245227075834,4.106233047931175,2.5655926832030578,1.3250669690167391,-0.7663278781262545,-2.5262372466948184,-2.3876722541548294,-2.2039960100678924,-2.5455283684505914,-2.394669859690205,-2.371928180546034,-2.5171434196281273
0,2.0,4.7659003862142955,3.255480888006114,0.9876409774604573,-0.3644898747319499,-0.503753942324867,-4.011121606541243,-4.013496605834564,-4.293524536523115,-27.171096677227155,-46.16153011216812,-28.44248903985392,-5.398438236612086,3.830420378184508,12.714707182682035,18.39163712753899,18.18103247965415,16.77514288954668,14.3436283817641,11.364989418267477,8.59513643763047,5.957309328594074,3.7625921386507954,2.0985168960249228,0.7313426932941888,-0.5047729132999356,-1.5064741972872597,-2.2330236208980248,-2.8084804579264775,-3.270162082902011,-3.742260633249175
0,3.0,2.4296392563075604,1.477970154151851,0.004596906690796114,-1.0622997272199282,-1.091268333123741,-3.7756601714801876,-3.077684785066373,-2.1101477711869765,-19.591009314242974,-34.40505037069244,-20.257660608666335,-2.5100826467904094,2.3080005926501195,5.744882850652729,8.785687190144907,9.393726664225401,9.543921518240971,8.794288644116628,7.36786907492825,6.11156424257606,4.8996277047685375,3.7063050617220332,2.762689905088496,2.0156861031164413,1.1747597375223555,0.36337577324800885,0.028024184952876233,-0.29631041658038615,-1.0079103058333096,-1.496019295785783
0,4.0,3.1122908181288125,2.0350126007047096,0.598441373467651,-0.5735096063123781,-0.808950157873373,-3.510094325590453,-3.536931255704367,-3.2672685428706902,-19.49091876438634,-33.190087822396535,-20.269814614659797,-4.103028568740682,0.2856210062953177,3.981311176948356,7.3642642215076135,8.095970769502273,8.365253421131433,7.981687984732793,7.094695787426026,6.200240671451757,5.3133678939197395,4.507937412307416,3.3527703998512295,2.283686976903342,1.861383725951267,1.3081148629840467,0.5604031256022789,0.1060556087912663,-0.33763988267007683,-0.9724674291490609
0,5.0,1.78910618591466,1.265750567037351,0.4132596563328131,-0.4225709004556955,-0.29551294874495687,-2.4668491969363875,-1.7224413122683724,-0.7039468212051808,-18.551807301013973,-34.13089480247264,-19.13625150541038,-0.22254002596537026,4.609253033802137,7.6638133624024265,10.130590573994404,10.181708040896837,9.681954978307177,8.463494694885513,7.070127194468473,5.88176500372527,4.8167500029626495,3.4715311218541824,1.9375566858158306,0.9972648117749171,0.24724442697259505,-0.619308124628152,-1.1788371707957055,-1.4904299509508863,-1.7490240119163476,-2.131256396603584
0,6.0,8.117617396558769,6.00532251696097,3.5152606099702615,1.2832106454110852,0.1461425134592661,-3.535344232076045,-5.014031880532139,-5.852166702030089,-23.405068146494663,-38.20256025299752,-23.80939111273187,-5.965111043776843,-1.4024339105782886,2.8341078107606834,6.66817108230451,7.23593486565496,7.2303452250911,6.636765190581494,5.84834608851254,5.2577091742811914,4.718315143519162,4.196110448329501,3.4097346946882814,2.5197670656505484,1.7961350041277455,1.2829637870119377,0.8681139620032022,0.3936519256492664,-0.020450563757516048,-0.4609817535594796
0,7.0,1.6634858862121955,1.6587975040077283,1.1172777635231774,0.6887197019042675,1.334704327031127,-0.8427039037545458,-0.4736512721949106,0.15138933272838553,-18.375883707255337,-34.455965734777784,-18.76786387013218,0.7066925617165901,5.096835944580697,8.332586246360977,11.584964146385108,11.703991084273001,10.974968804636811,9.705339322315574,7.939231621379075,6.132441710868345,4.454885118611788,2.7706808219547647,1.2819394502212758,0.2961130746961239,-0.6100146666554069,-1.4515672568536733,-1.8673975725513403,-2.201396912523198,-2.571030858908994,-2.8301336886004096
0,8.0,1.8448804505770573,0.6974428544444734,-0.7767298359144555,-1.9065485569020681,-1.0595171918331203,-4.2415413934303645,-5.341963134279224,-3.677856960169638,-28.203288952404534,-51.498876707051316,-27.987091156991784,-0.013876089374598612,5.460894940459123,13.310217997358478,20.507159747477672,19.99732683613833,18.48823318841325,16.454516999041985,13.230166689393046,9.979912641639332,7.385843443185553,4.876036916261762,2.4630836949821195,0.8845487006096082,-0.8443535778213361,-2.770503107829343,-3.63262239317381,-3.7641508710296967,-4.147557490909479,-4.747208755434364
0,9.0,2.1972704801057015,1.7734337368251596,1.1173241944831196,0.8921777731045384,1.3309478330214362,-0.7904161947898506,-0.8930458326668234,-1.0673374899138086,-17.21834899812981,-30.854573102733482,-18.064515593594685,-2.376553491504201,1.532447269876667,5.41988698489914,9.107396852865461,9.537761438131035,9.200550625363011,8.55675372258692,7.400941626500464,6.175848147099034,5.178836201837514,4.15808657747363,2.919506546638466,1.7813625481468183,0.8980249434532181,0.12975290249974009,-0.48701353404847025,-0.9038323641341292,-1.3067143004750026,-1.7396704192315413
0,10.0,10.48125748330207,8.230669026323607,5.766511538327769,3.4543431344335187,1.875483936192516,-1.6008704657445398,-4.310195461909571,-7.303175310833983,-23.204678915374146,-36.059813497401734,-23.337263676692313,-6.8334410272853034,-2.458932305014209,1.080446752034808,4.514331375166752,5.091891912047147,5.39927583070326,5.584865847551234,5.337248932085389,4.94731863257276,4.600284069816924,4.081838505054096,3.3075530867778613,2.6860421876811515,1.9918481106288861,1.1562780887625712,0.5913586541821755,0.1646247652005898,-0.2856909800510268,-0.7168300903556565
